temp,omega1,theta1,omega2,theta2,theta2-theta1
    9.599999,   -2.588575,   -4.629825,   -2.586955,   -4.627295,    0.002530
    9.639999,   -2.585166,   -4.733232,   -2.583540,   -4.730637,    0.002595
    9.679999,   -2.581032,   -4.836473,   -2.579411,   -4.833813,    0.002660
    9.719999,   -2.575784,   -4.939504,   -2.574179,   -4.936780,    0.002724
    9.760000,   -2.569039,   -5.042265,   -2.567462,   -5.039479,    0.002787
    9.800000,   -2.560426,   -5.144682,   -2.558888,   -5.141835,    0.002848
    9.840000,   -2.549593,   -5.246666,   -2.548106,   -5.243759,    0.002908
    9.880000,   -2.536211,   -5.348114,   -2.534786,   -5.345150,    0.002964
    9.920000,   -2.519978,   -5.448914,   -2.518626,   -5.445896,    0.003018
    9.960000,   -2.500625,   -5.548939,   -2.499357,   -5.545870,    0.003069
   10.000000,   -2.477921,   -5.648057,   -2.476746,   -5.644940,    0.003117
   10.040000,   -2.451672,   -5.746124,   -2.450599,   -5.742964,    0.003160
   10.080000,   -2.421730,   -5.842993,   -2.420768,   -5.839795,    0.003199
   10.120000,   -2.387990,   -5.938513,   -2.387146,   -5.935280,    0.003233
   10.160000,   -2.350393,   -6.032529,   -2.349672,   -6.029267,    0.003263
   10.200000,   -2.308922,   -6.124886,   -2.308328,   -6.121600,    0.003286
   10.240000,   -2.263604,   -6.215430,   -2.263142,   -6.212125,    0.003304
   10.280000,   -2.214510,   -6.304010,   -2.214181,   -6.300692,    0.003318
   10.320000,   -2.161745,   -6.390480,   -2.161549,   -6.387154,    0.003325
   10.360000,   -2.105449,   -6.474698,   -2.105386,   -6.471369,    0.003328
   10.400000,   -2.045794,   -6.556530,   -2.045861,   -6.553204,    0.003325
   10.440000,   -1.982974,   -6.635849,   -1.983170,   -6.632531,    0.003318
   10.480000,   -1.917206,   -6.712536,   -1.917526,   -6.709232,    0.003304
   10.520000,   -1.848721,   -6.786485,   -1.849161,   -6.783198,    0.003287
   10.559999,   -1.777762,   -6.857596,   -1.778316,   -6.854331,    0.003265
   10.599999,   -1.704577,   -6.925779,   -1.705240,   -6.922540,    0.003239
   10.639999,   -1.629418,   -6.990956,   -1.630183,   -6.987748,    0.003208
   10.679999,   -1.552535,   -7.053057,   -1.553396,   -7.049883,    0.003174
   10.719999,   -1.474171,   -7.112024,   -1.475121,   -7.108888,    0.003136
   10.760000,   -1.394565,   -7.167806,   -1.395598,   -7.164712,    0.003094
   10.800000,   -1.313944,   -7.220364,   -1.315054,   -7.217314,    0.003050
   10.840000,   -1.232526,   -7.269665,   -1.233706,   -7.266662,    0.003003
   10.880000,   -1.150514,   -7.315686,   -1.151759,   -7.312732,    0.002954
   10.920000,   -1.068100,   -7.358409,   -1.069402,   -7.355508,    0.002901
   10.960000,   -0.985460,   -7.397828,   -0.986816,   -7.394981,    0.002847
   11.000000,   -0.902759,   -7.433938,   -0.904162,   -7.431147,    0.002790
   11.040000,   -0.820145,   -7.466743,   -0.821591,   -7.464011,    0.002732
   11.080000,   -0.737757,   -7.496253,   -0.739241,   -7.493580,    0.002673
   11.120000,   -0.655719,   -7.522482,   -0.657238,   -7.519870,    0.002612
   11.160000,   -0.574143,   -7.545448,   -0.575693,   -7.542898,    0.002550
   11.200000,   -0.493134,   -7.565174,   -0.494712,   -7.562686,    0.002487
   11.240000,   -0.412784,   -7.581685,   -0.414387,   -7.579262,    0.002422
   11.280000,   -0.333177,   -7.595011,   -0.334803,   -7.592655,    0.002357
   11.320000,   -0.254392,   -7.605187,   -0.256040,   -7.602896,    0.002291
   11.360000,   -0.176501,   -7.612247,   -0.178167,   -7.610023,    0.002224
   11.400000,   -0.099569,   -7.616230,   -0.101254,   -7.614073,    0.002156
   11.440000,   -0.023660,   -7.617176,   -0.025361,   -7.615088,    0.002088
   11.480000,    0.051167,   -7.615129,    0.049449,   -7.613110,    0.002019
   11.520000,    0.124852,   -7.610135,    0.123119,   -7.608185,    0.001949
   11.559999,    0.197339,   -7.602241,    0.195590,   -7.600361,    0.001880
   11.599999,    0.268570,   -7.591498,    0.266806,   -7.589689,    0.001809
   11.639999,    0.338485,   -7.577959,    0.336706,   -7.576221,    0.001738
   11.679999,    0.407025,   -7.561677,    0.405229,   -7.560011,    0.001666
   11.719999,    0.474124,   -7.542713,    0.472313,   -7.541119,    0.001594
   11.759999,    0.539718,   -7.521124,    0.537891,   -7.519603,    0.001521
   11.800000,    0.603735,   -7.496975,    0.601892,   -7.495528,    0.001448
   11.840000,    0.666100,   -7.470332,    0.664241,   -7.468958,    0.001373
   11.880000,    0.726735,   -7.441263,    0.724859,   -7.439964,    0.001299
   11.920000,    0.785556,   -7.409840,    0.783662,   -7.408617,    0.001223
   11.960000,    0.842472,   -7.376141,    0.840561,   -7.374995,    0.001146
   12.000000,    0.897392,   -7.340246,    0.895463,   -7.339177,    0.001069
   12.040000,    0.950215,   -7.302237,    0.948270,   -7.301246,    0.000991
   12.080000,    1.000840,   -7.262204,    0.998878,   -7.261291,    0.000913
   12.120000,    1.049160,   -7.220237,    1.047181,   -7.219404,    0.000834
   12.160000,    1.095065,   -7.176435,    1.093071,   -7.175681,    0.000754
   12.200000,    1.138443,   -7.130897,    1.136434,   -7.130224,    0.000673
   12.240000,    1.179181,   -7.083730,    1.177158,   -7.083137,    0.000593
   12.280000,    1.217165,   -7.035043,    1.215129,   -7.034532,    0.000511
   12.320000,    1.252280,   -6.984952,    1.250234,   -6.984522,    0.000430
   12.360000,    1.284418,   -6.933576,    1.282362,   -6.933228,    0.000348
   12.400000,    1.313468,   -6.881037,    1.311406,   -6.880772,    0.000265
   12.440000,    1.339330,   -6.827464,    1.337263,   -6.827281,    0.000182
   12.480000,    1.361906,   -6.772988,    1.359836,   -6.772888,    0.000100
   12.520000,    1.381107,   -6.717743,    1.379039,   -6.717726,    0.000017
   12.559999,    1.396855,   -6.661870,    1.394789,   -6.661934,   -0.000065
   12.599999,    1.409078,   -6.605506,    1.407019,   -6.605653,   -0.000147
   12.639999,    1.417720,   -6.548798,    1.415671,   -6.549026,   -0.000228
   12.679999,    1.422735,   -6.491889,    1.420699,   -6.492198,   -0.000310
   12.719999,    1.424092,   -6.434925,    1.422072,   -6.435316,   -0.000391
   12.759999,    1.421772,   -6.378054,    1.419771,   -6.378524,   -0.000470
   12.799999,    1.415771,   -6.321423,    1.413793,   -6.321972,   -0.000549
   12.840000,    1.406101,   -6.265179,    1.404149,   -6.265807,   -0.000628
   12.880000,    1.392787,   -6.209467,    1.390864,   -6.210172,   -0.000705
   12.920000,    1.375868,   -6.154433,    1.373978,   -6.155213,   -0.000780
   12.960000,    1.355399,   -6.100216,    1.353543,   -6.101071,   -0.000854
   13.000000,    1.331445,   -6.046958,    1.329626,   -6.047885,   -0.000927
   13.040000,    1.304083,   -5.994795,    1.302304,   -5.995793,   -0.000998
   13.080000,    1.273404,   -5.943860,    1.271667,   -5.944926,   -0.001066
   13.120000,    1.239507,   -5.894279,    1.237813,   -5.895413,   -0.001134
   13.160000,    1.202498,   -5.846179,    1.200850,   -5.847379,   -0.001200
   13.200000,    1.162492,   -5.799680,    1.160891,   -5.800944,   -0.001264
   13.240000,    1.119610,   -5.754896,    1.118057,   -5.756221,   -0.001326
   13.280000,    1.073977,   -5.711936,    1.072472,   -5.713322,   -0.001386
   13.320000,    1.025720,   -5.670907,    1.024265,   -5.672351,   -0.001444
   13.360000,    0.974970,   -5.631909,    0.973565,   -5.633409,   -0.001500
   13.400000,    0.921859,   -5.595034,    0.920505,   -5.596589,   -0.001554
   13.440000,    0.866517,   -5.560374,    0.865214,   -5.561980,   -0.001606
   13.480000,    0.809076,   -5.528011,    0.807824,   -5.529666,   -0.001656
   13.520000,    0.749665,   -5.498024,    0.748463,   -5.499728,   -0.001703
   13.559999,    0.688411,   -5.470488,    0.687259,   -5.472237,   -0.001749
   13.599999,    0.625437,   -5.445470,    0.624337,   -5.447263,   -0.001793
   13.639999,    0.560868,   -5.423035,    0.559818,   -5.424871,   -0.001836
   13.679999,    0.494821,   -5.403243,    0.493821,   -5.405118,   -0.001876
   13.719999,    0.427414,   -5.386146,    0.426464,   -5.388060,   -0.001914
   13.759999,    0.358761,   -5.371795,    0.357860,   -5.373745,   -0.001950
   13.799999,    0.288972,   -5.360237,    0.288121,   -5.362220,   -0.001984
   13.840000,    0.218159,   -5.351511,    0.217357,   -5.353526,   -0.002015
   13.880000,    0.146428,   -5.345653,    0.145677,   -5.347699,   -0.002046
   13.920000,    0.073889,   -5.342698,    0.073187,   -5.344771,   -0.002073
   13.960000,    0.000646,   -5.342672,   -0.000005,   -5.344771,   -0.002099
   14.000000,   -0.073191,   -5.345600,   -0.073792,   -5.347723,   -0.002123
   14.040000,   -0.147515,   -5.351500,   -0.148064,   -5.353645,   -0.002145
   14.080000,   -0.222217,   -5.360388,   -0.222713,   -5.362553,   -0.002165
   14.120000,   -0.297182,   -5.372276,   -0.297625,   -5.374458,   -0.002182
   14.160000,   -0.372296,   -5.387167,   -0.372685,   -5.389366,   -0.002198
   14.200000,   -0.447440,   -5.405065,   -0.447773,   -5.407277,   -0.002212
   14.240000,   -0.522489,   -5.425965,   -0.522764,   -5.428187,   -0.002222
   14.280000,   -0.597314,   -5.449857,   -0.597531,   -5.452088,   -0.002231
   14.320000,   -0.671783,   -5.476729,   -0.671939,   -5.478965,   -0.002236
