omega,theta
     -1.11183929,      5.26318642
      0.78295112,      0.44892492
     -0.42146994,      6.15963823
      0.24107057,      3.04107602
     -2.17215431,      5.30750887
     -0.50770655,      2.40297315
     -2.77865742,      6.12209515
     -0.72900656,      5.00012778
      0.08192055,      0.46754528
     -0.16131046,      0.48262373
      1.98737893,      4.60091779
     -1.96623460,      5.85393366
      1.35865756,      2.35398338
      0.31316256,      1.11787258
      0.25950906,      0.08307549
      0.47259146,      5.28986834
     -0.42184472,      2.12735824
      0.58361137,      3.39781433
     -0.55797703,      0.74227470
      0.17754384,      1.07286737
     -0.03271883,      3.77231351
      2.42187742,      4.98420786
     -0.43159755,      2.80596971
      0.35526071,      5.46886560
      0.58895000,      2.06786557
     -1.88210904,      2.15499554
      1.94041100,      0.04443676
     -1.20778914,      3.96678561
     -1.45208332,      6.12317472
      1.27078093,      5.38128304
      1.53899658,      4.46452374
     -1.09447189,      3.53013601
      0.23432489,      5.24006026
     -0.33676040,      5.59479099
     -0.40679956,      1.76563201
     -2.22721492,      1.05289283
      2.04844579,      0.46911293
     -1.51462615,      4.18484600
     -1.64924815,      4.34691590
     -0.89126755,      5.36710589
      0.29921168,      0.38967994
     -0.25584496,      0.29912531
      0.77711638,      5.62606254
     -1.00660161,      1.18694769
     -1.65213565,      1.71874717
     -0.03792789,      1.06861169
      0.32544356,      0.48332033
      0.51464996,      4.84806720
      1.40881382,      4.17900702
     -1.52124912,      5.51783944
      1.05915953,      2.91811846
     -0.58040962,      0.89623915
     -0.27952789,      5.22134055
      0.10169132,      2.55699865
     -2.29817899,      1.59145853
      1.26588096,      4.44349674
     -1.28151171,      5.25618996
      1.08522482,      3.15363596
     -1.03964509,      0.54173873
     -1.06795030,      2.48320662
      1.37408196,      0.28677940
     -0.57380814,      3.83254170
      1.67911971,      3.28740037
     -1.67189849,      0.29726337
      0.85331876,      2.19730667
     -1.59478713,      3.23972200
      1.22565389,      5.54709556
      0.20161133,      2.98483672
     -1.75890757,      3.99615027
      0.74703868,      5.22252868
     -0.47304048,      5.11675354
      0.52506740,      2.98268093
      1.46505576,      0.01489616
      1.56359080,      4.76136289
     -1.34923382,      4.96443680
      1.36550085,      3.20711571
     -1.40747945,      0.28455591
      0.54723921,      2.06180075
     -1.91689986,      2.06165993
      1.95446310,      0.07604838
      0.43142000,      2.35807738
     -1.95809691,      2.18652973
      1.93980893,      5.97878475
     -1.20884667,      4.15977850
      2.21506276,      6.14637134
     -1.71506609,      4.72016422
      1.88657221,      5.23277594
      2.00120299,      4.30285522
     -1.98272360,      0.18215412
      1.26260835,      2.15011645
      0.10621774,      3.46157482
      2.37874569,      4.73625216
     -0.30904103,      2.92390260
     -0.48272674,      5.36200089
      0.38438164,      1.52042797
     -1.30322926,      2.45916899
      1.53199770,      0.38804891
     -0.81976211,      3.65083024
     -1.14201728,      1.52419160
     -2.54608413,      5.79555561
     -1.37519809,      5.70884126
      1.29862501,      2.05345175
     -1.88212369,      1.08378760
      1.45275145,      1.53644450
     -1.51170890,      3.65408163
      0.92454732,      5.41981706
     -0.41299578,      4.89536861
      1.00576674,      3.51316278
     -0.57512343,      6.19701549
      0.59361057,      6.11242306
     -0.81883991,      0.32543506
      1.04659414,      5.82029740
     -1.13120086,      0.98968720
     -1.19936957,      2.23920245
      0.87488523,      4.69721683
      2.44713430,      5.89783978
     -1.86209231,      0.99936871
      1.37040001,      1.64302520
     -1.52138870,      3.61045381
      1.01137714,      5.47421382
     -0.42755862,      4.79994050
     -2.16133100,      1.87837648
      1.72797767,      5.18337440
     -1.25619066,      4.64029833
      1.48565629,      3.08927375
     -1.42870131,      0.38399113
      0.58996540,      2.02059481
     -1.87502914,      2.11785930
      0.97832235,      5.92125607
     -1.13992127,      0.61960486
      0.72191984,      4.41402361
      2.60086840,      0.01869955
      1.62223706,      5.82020901
      2.09291973,      5.35794287
     -1.70754078,      4.97344256
     -2.34320624,      0.31047749
      2.09707586,      0.58404878
     -1.75025963,      4.59002732
     -1.55605331,      0.16700675
     -0.09740745,      3.35903393
      1.78658996,      3.41820169
     -1.75899927,      0.36464501
     -1.99244680,      4.80596883
     -1.16981497,      5.56375107
      0.82555467,      0.33642495
     -0.53403115,      6.18180439
      0.56964699,      6.09390431
     -0.82802174,      0.35187402
      1.06969204,      5.77262434
     -0.08577637,      2.25184061
     -2.51176959,      0.87109835
     -0.05522738,      2.94684599
     -2.05950296,      2.22479957
      1.77499826,      5.36410200
     -1.20165715,      4.50948335
      1.51303292,      2.98660647
     -0.37027876,      0.71297459
      0.86636877,      5.04433960
      1.36969210,      4.19530448
     -1.48627933,      5.49503694
      1.04688225,      2.94161538
     -0.60954540,      0.87600514
      0.28566756,      1.08767132
      1.71334935,      4.16774043
     -1.80809351,      5.78335141
      1.19019319,      2.62061919
     -0.09533443,      1.09289151
      0.34718758,      0.52895407
      0.49123863,      4.76366865
      1.69651640,      4.51888840
      2.00613431,      4.31203025
     -1.98361601,      0.18994957
      1.26399456,      2.14466488
     -0.06053829,      3.28436854
      1.74181102,      3.20329174
     -1.66123528,      0.41924831
      0.86036085,      2.11850431
      1.66981719,      6.04165529
     -0.85558872,      4.04838533
      1.60096146,      2.85868462
     -1.34060859,      0.59124392
      0.57482945,      1.85017381
     -1.79799944,      2.08948193
      1.86860042,      0.38437894
      2.31815160,      5.87677491
     -2.04331214,      5.52140139
      1.79907708,      1.63160814
      1.56124286,      6.09011555
      0.28062823,      3.11878583
     -0.09608328,      3.26251612
     -0.03420782,      0.18369001
     -0.35653160,      0.66101396
      0.88762899,      5.15495231
      0.86724247,      3.64504239
     -1.19530943,      0.05970937
      0.28045887,      1.99795230
     -2.07657176,      1.62593485
      1.04531871,      5.80186479
     -1.11616886,      1.03067995
     -1.32041189,      2.10700620
      1.45627907,      0.76967956
     -1.00315062,      3.35162895
      0.47692214,      5.35176718
     -0.29057135,      5.33646159
      0.80753168,      5.22968310
      0.20863473,      2.93180736
     -1.69604546,      3.61043364
      1.24502467,      5.54019372
     -0.56475709,      4.57455203
      1.65034153,      4.08888148
     -1.75636140,      5.77796487
      1.06448866,      0.67932454
     -0.61982142,      5.93259203
      0.39084943,      6.24736073
     -0.63347765,      0.36326284
      0.97130097,      5.75863569
     -1.10054013,      1.03767003
     -1.31403208,      2.11244899
     -1.32146159,      5.14794933
      1.22202677,      3.21473403
     -1.27497643,      0.34506058
      0.42083394,      1.91566337
     -1.92464279,      1.86813421
      1.94147754,      0.35700471
     -1.28249392,      3.87204207
      1.23450452,      0.58407611
     -0.97128979,      6.06395985
      0.75648245,      0.09269246
     -0.68681655,      0.05756746
      0.77701819,      6.09441811
     -0.93743660,      0.28008968
      1.44802736,      3.98139226
     -1.62022127,      5.74735722
      1.00918226,      2.75154953
      0.09095036,      1.07208581
      0.29883334,      0.34293266
      0.54117035,      5.04416766
      0.59567450,      3.30585343
      1.40754576,      6.02318101
     -0.55017856,      4.20348830
      1.91673981,      4.19953830
     -1.95760204,      6.25428042
      1.22848541,      2.28931466
      1.48271019,      0.07451580
     -1.12306850,      1.31249191
      0.71315732,      5.46830818
     -0.28775194,      5.07318059
      0.46856819,      2.97680492
      1.23500738,      4.93690899
      2.51350815,      0.27323539
      1.44959146,      5.23254557
      2.47342801,      0.33085763
      1.69227668,      1.06801807
     -1.40056198,      3.61256338
      0.80003622,      5.38850345
     -0.37720210,      5.01578825
      0.68482188,      3.18547204
     -0.28932023,      0.92165937
      0.24518930,      0.76557565
      1.51373679,      2.46366545
     -0.59642580,      1.03749369
      0.40885299,      1.03814962
     -0.18016875,      3.67555554
      2.11843300,      4.31144636
     -1.81470858,      0.88480617
      1.22941083,      1.78230403
     -0.11374901,      1.08849526
      0.35273308,      0.55494230
      0.47072024,      4.71619474
      1.81143019,      4.65525152
     -1.70181982,      5.29704169
      1.35063579,      2.72604065
     -0.80156851,      0.87228624
     -1.53714850,      4.11937453
     -0.33128821,      5.14047648
     -0.26877439,      6.22820275
     -0.44995189,      0.99131056
      0.43459852,      4.18256012
      2.62878751,      6.03662852
      1.59816244,      5.61715976
     -1.65315468,      3.21985809
      1.54505512,      5.84513297
     -0.74139577,      4.21698354
      1.74088045,      3.77565727
     -1.83893806,      6.27813086
      1.06402067,      2.37536324
      0.73699659,      4.18149525
     -1.12683409,      3.32320322
      0.82453007,      5.51714766
     -0.30137300,      4.95527140
      0.79019338,      3.31897205
     -0.81320784,      0.61601004
      0.18942939,      1.35153497
     -0.79818770,      2.92069575
     -1.28429557,      4.16004765
     -0.00073730,      2.93316914
     -1.96422966,      2.42122577
      1.84660169,      5.66433621
     -1.15677982,      4.31252362
      1.61138048,      2.45966986
     -0.78937552,      0.98247909
      1.64640012,      6.00123469
      1.71083581,      4.74793716
     -1.51789393,      5.06012924
      1.36783988,      2.95587184
     -1.18118344,      0.57471794
      0.41939832,      1.72244140
      2.10215074,      0.09914188
     -1.49059062,      4.27238925
     -1.48170904,      6.16963622
      1.17632549,      5.09463286
      2.22995248,      5.50394864
     -1.93477238,      5.34481932
      1.69704664,      1.88074979
     -1.28122625,      0.39633073
      0.95660123,      4.75144853
      2.46533300,      6.00864807
     -1.63690440,      1.39771350
      1.33685501,      1.41218557
     -1.40622538,      3.10098469
      1.42086551,      5.98164306
      0.16878128,      2.94821718
     -1.69570625,      3.45138453
      1.40341835,      5.66382796
     -0.65192113,      4.40032178
      1.78515762,      4.09818546
     -1.87413749,      5.99980991
      1.17046919,      2.48577386
     -0.32328663,      0.36347275
      0.83265259,      5.60708002
     -0.97546981,      1.30354421
     -2.00250986,      1.23787746
      1.74442659,      1.12758036
     -1.50138698,      3.88091496
      0.38656507,      5.17621539
      1.31497653,      0.47734132
     -0.61029909,      3.69266251
      1.74027186,      2.22418710
     -0.56631610,      1.12255519
      0.46022988,      0.98017863
     -0.11998475,      3.76744996
      2.30084024,      4.72620608
     -1.96541058,      6.02609900
      1.29774348,      2.34940657
      0.65276622,      1.00434890
     -0.00188845,      6.05628974
      0.33563447,      5.67302679
     -0.89604580,      1.03573663
     -0.40372537,      3.12521983
     -2.47527841,      0.30406387
      1.44588431,      4.60876443
     -1.33162417,      5.08737156
      1.27460449,      3.23014756
     -1.33689323,      0.29615945
      0.46928708,      1.99505159
     -1.95330615,      1.90520192
      0.27047538,      3.85260450
      2.70074891,      5.83834427
      1.59652568,      0.21766794
     -0.45146024,      2.32858110
     -2.74226883,      6.28248031
     -1.12414978,      5.31359613
      0.79104508,      0.43255152
      1.05939415,      4.81783886
